###,,,
###,,,
###,,,
# LE counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the LE light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58191.91749,0.074994213,154.4519046,0.19584985
58192.08362,0.040271991,163.1270196,0.269088154
58192.21645,0.037494213,175.0652046,0.381699321
58192.35154,0.035063657,184.9605265,0.443635918
58193.50207,0.073605324,296.9714127,0.308434916
58193.66918,0.039230324,304.6411173,0.432191368
58193.80436,0.040619213,332.6292228,0.382128168
58193.93703,0.04166088,345.3201516,0.343772722
58194.07057,0.039577546,356.5258498,0.400372573
58194.20397,0.037494213,388.9853041,0.530919492
58194.33698,0.034021991,406.2418485,0.694681029
58194.46293,0.03853588,429.1975076,0.511236721
58194.59645,0.039924769,449.2784632,0.454733873
58194.73071,0.040619213,483.0476057,0.442162785
58194.86459,0.041313657,502.343179,0.42154866
58194.997,0.040966435,532.0237664,0.45465269
58195.13075,0.03853588,553.5970418,0.546993404
58195.26524,0.03541088,582.6150617,0.785436754
58195.39302,0.033454861,606.2082343,0.710358987
58195.523,0.039924769,618.5348371,0.539828354
58197.05108,0.071869213,860.7585742,0.644334042
58197.18499,0.040271991,898.7911634,0.893110435
58197.34672,0.041313657,899.2341081,0.764012545
58197.50964,0.039924769,889.9449359,0.745874596
58199.53001,0.038188657,1009.301946,0.66922876
58199.69874,0.010063657,1022.206288,0.673322133
58199.83166,0.065619213,1015.350216,0.590958092
58199.96517,0.037494213,1016.36019,0.667825528
58200.09869,0.037841435,1030.459277,0.759734695
58200.20705,0.040619213,1008.219041,1.190066855
58200.32661,0.040271991,1020.904454,0.865256666
58200.49015,0.045827546,1020.920558,0.78408826
58200.62381,0.067569444,1024.484034,0.848320776
58200.7592,0.037494213,1037.523093,0.696958248
58200.89226,0.039924769,1040.192654,0.671681832
58201.03367,0.040271991,1005.848209,0.705960967
58201.4085,0.04791088,1012.144634,0.802558117
58201.55103,0.045480324,1023.682285,0.805293853
58201.68608,0.044340278,1045.403285,0.709450301
58201.82005,0.047216435,1036.442712,0.712576268
58201.96017,0.04791088,1019.106018,0.756722422
58202.09376,0.037146991,1012.834067,0.676209428
58202.22974,0.040271991,1008.890855,0.799369635
58202.35642,0.048952546,1023.315159,0.889622793
58202.48973,0.047216435,1017.591085,0.829469123
58202.61159,0.045133102,1006.733611,1.155252359
58202.74733,0.046521991,1010.386586,0.707796426
58202.88862,0.047563657,1025.708866,0.613111031
58203.02061,0.039230324,1003.944425,0.655067493
58203.15619,0.036799769,995.4491571,0.672145787
58203.28682,0.064577546,999.8305733,0.78029536
58203.4177,0.038188657,972.6359258,0.854885782
58204.46749,0.102771991,941.4550562,0.534562744
58205.49471,0.069091435,946.6577565,0.612260202
58206.96589,0.081591435,901.9496064,0.442667407
58207.76256,0.082633102,912.5518798,0.497127808
58208.95522,0.081938657,901.4253418,0.412218536
58209.91628,0.048605324,891.2245928,0.504832105
58210.08219,0.081938657,893.6932551,0.442457353
58210.25564,0.040271991,898.2598806,0.593540668
58210.38658,0.037476852,889.8952891,0.735270726
58210.57538,0.045133102,894.0912161,1.071836022
58212.07015,0.081244213,902.5785331,0.459001502
58212.24108,0.038883102,910.4542895,0.627346155
58212.37365,0.036799769,916.7814554,0.794623663
58213.93057,0.074646991,918.4024609,0.457390522
58214.13013,0.073952546,911.9941725,0.475953537
58214.72939,0.072563657,918.2417721,0.457607699
58214.89122,0.04166088,919.2810041,0.553997024
