###,,,
###,,,
###,,,
#  The overall V-band flux provided by AAVSO from MJD 58193-58991,,,
#  which has been extinction corrected with E(B-V) = 0.23,,,
"#  Thus the luminosities in V-band of the source are estimated L_v = 4*pi*D^2 * flux, for the source distance D = 2.96 kpc",,,
"#  The columns are date in modified Julien date, flux and its error",,,
# The uncertainties in the flux are quoted at 1-sigma confidence level,,,
#  The flux and its error are in  units of erg/s/cm^2,,,
####,,,
####,,,
,,,
,mjd,flux_23,flux23_err
0,58193.39313,3.21E-10,1.66E-13
1,58195.36796,4.10E-10,1.92E-13
2,58198.36345,4.93E-10,3.46E-13
3,58199.3795,4.92E-10,1.44E-13
4,58202.34025,5.74E-10,2.47E-13
5,58203.35406,6.51E-10,8.53E-13
6,58208.97539,5.91E-10,5.91E-13
7,58209.21553,5.87E-10,3.81E-13
8,58210.35344,5.57E-10,1.51E-12
9,58213.37375,6.43E-10,1.60E-12
10,58220.03473,4.99E-10,1.00E-12
11,58227.10673,3.81E-10,3.65E-13
12,58228.64265,3.76E-10,3.81E-12
13,58235.41243,2.76E-10,1.53E-12
14,58239.30001,3.40E-10,4.21E-12
15,58240.33475,3.49E-10,6.10E-12
16,58241.35399,3.26E-10,1.38E-12
17,58242.05651,2.94E-10,2.54E-13
18,58243.31078,3.46E-10,1.05E-12
19,58244.34076,3.41E-10,1.87E-12
20,58245.34987,3.29E-10,9.68E-13
21,58246.32323,3.35E-10,2.07E-12
22,58247.37325,3.19E-10,1.76E-12
23,58248.32433,3.06E-10,5.35E-12
24,58250.3933,3.06E-10,2.50E-12
25,58251.32321,3.24E-10,1.42E-12
26,58252.05806,2.46E-10,2.51E-13
27,58253.16079,2.65E-10,1.37E-13
28,58254.3334,2.90E-10,1.35E-13
29,58256.17104,2.29E-10,1.38E-13
30,58257.16407,2.70E-10,1.45E-13
31,58259.17553,2.40E-10,2.51E-13
32,58260.28301,2.22E-10,3.01E-13
33,58261.28232,2.42E-10,2.95E-13
34,58262.18776,1.99E-10,6.99E-13
35,58263.27374,2.44E-10,2.85E-13
36,58264.27779,2.41E-10,3.08E-13
37,58265.27652,2.24E-10,1.57E-13
38,58266.35887,1.99E-10,2.60E-13
39,58267.25151,2.06E-10,1.09E-12
40,58268.21705,2.11E-10,1.90E-13
41,58270.296,1.61E-10,5.00E-13
42,58271.38616,1.60E-10,2.65E-13
43,58272.48564,1.61E-10,6.22E-13
44,58275.2131,1.62E-10,8.85E-13
45,58276.24668,1.35E-10,1.07E-13
46,58277.28926,1.43E-10,1.64E-13
47,58278.22315,1.37E-10,1.14E-13
48,58279.34308,1.91E-10,2.11E-13
49,58280.27498,1.50E-10,1.42E-13
50,58281.22173,1.52E-10,1.14E-13
51,58282.21864,1.78E-10,1.14E-13
52,58284.48183,2.26E-10,1.15E-13
53,58285.14778,1.79E-10,1.21E-13
54,58286.58589,2.15E-10,1.14E-13
55,58287.11557,2.30E-10,1.31E-13
56,58288.71137,1.71E-10,1.22E-13
57,58289.14048,2.43E-10,9.75E-14
58,58290.73491,1.70E-10,1.62E-13
59,58291.20125,2.73E-10,1.06E-13
60,58292.63282,1.92E-10,1.11E-13
61,58293.38944,2.03E-10,7.34E-14
62,58294.50549,2.48E-10,8.16E-14
63,58295.54358,2.13E-10,9.82E-14
64,58296.21929,2.45E-10,1.80E-13
65,58297.47379,2.41E-10,1.26E-13
66,58298.4947,2.43E-10,1.85E-13
67,58299.66527,1.84E-10,1.78E-13
68,58300.68209,2.09E-10,7.28E-14
69,58301.71694,1.82E-10,6.91E-14
70,58302.64084,2.09E-10,5.35E-14
71,58303.36741,1.89E-10,6.13E-14
72,58304.29276,1.83E-10,1.11E-13
73,58305.34306,2.05E-10,8.07E-14
74,58306.28133,1.81E-10,1.14E-13
75,58307.33225,2.12E-10,1.03E-13
76,58308.61555,1.99E-10,7.68E-14
77,58309.36237,2.29E-10,6.98E-14
78,58310.55787,2.27E-10,6.48E-14
79,58311.52149,2.53E-10,6.42E-14
80,58312.5821,2.57E-10,6.19E-14
81,58313.44377,2.57E-10,6.31E-14
82,58314.60719,2.69E-10,5.47E-14
83,58315.59024,2.48E-10,6.14E-14
84,58316.32289,2.39E-10,7.39E-14
85,58317.62462,2.25E-10,5.93E-14
86,58318.30478,2.56E-10,6.97E-14
87,58319.395,2.36E-10,4.42E-14
88,58320.42969,2.15E-10,7.09E-14
