###,,
###,,
###,,
"# The V-band luminosities for MAXI J1820+070 during MJD 58395-58440,",,
# which are derived by subtracting the estiamted exponential decay from the observed V-band luminosities ,,
# See the methods section for the reduction procedure used to obtain these measurements.,,
#,,
# This file is used to plot the orange points in Panel (C) of Figure 2,,
#,,
"# The columns are date in modified Julien date, luminosity and its error",,
#  The luminosity and its error are in erg/s,,
####,,
####,,
#date(MJD),luminosity(erg/s),error(erg/s)
58397.3964,1.17E+34,4.33E+31
58398.8193,2.84E+34,9.70E+31
58400.5156,4.38E+34,5.72E+31
58401.561,4.32E+34,6.88E+31
58402.1422,5.64E+34,6.53E+31
58403.1963,4.97E+34,1.65E+32
58404.1993,6.64E+34,1.45E+32
58405.112,6.08E+34,2.02E+32
58406.1179,5.83E+34,2.46E+32
58408.1552,5.75E+34,1.96E+32
58409.5614,4.97E+34,7.75E+31
58410.1551,5.74E+34,6.31E+32
58411.6834,4.12E+34,5.56E+31
58412.6802,4.27E+34,5.12E+31
58413.0865,5.44E+34,1.09E+32
58414.0748,5.19E+34,7.97E+31
58416.1042,4.89E+34,2.18E+32
58417.0997,4.49E+34,2.49E+32
58421.1129,4.27E+34,2.81E+32
58422.1356,3.87E+34,8.85E+31
58424.4312,3.12E+34,6.19E+31
58426.7585,2.51E+34,5.36E+31
58430.1095,3.07E+34,6.34E+31
58431.1024,2.71E+34,1.51E+32
58432.0995,2.66E+34,8.16E+31
