xtime,xlum,xlum_err,vtime,vlum,vlum_err,state
58193.44335306,5.555203848137e+37,3.975145892903e+35,58193.39312818812,3.368893162544009e+35,1.7350991194685588e+32,rising hard state
58195.33725863,9.59179746788e+37,5.674164416021e+35,58195.36796405883,4.299940253707404e+35,2.0176381088739265e+32,rising hard state
58197.46445255,1.27526370646e+38,8.000137610035e+35,58198.3634473301,5.163590120154018e+35,3.625101597339411e+32,rising hard state
58199.48231667,1.511471630085e+38,6.54055488197e+35,58199.37949870701,5.157253866665167e+35,1.5067255554120977e+32,rising hard state
58202.43592811,1.342764961138e+38,9.298060766618e+35,58202.34024696005,6.02078252423586e+35,2.5852952478618496e+32,rising hard state
58203.23457944,1.362699196995e+38,7.099291152479e+35,58203.35406445784,6.821796737400326e+35,8.942185819318149e+32,rising hard state
58208.87618818,1.204758502535e+38,1.464654156799e+36,58208.97539232143,6.190776768129908e+35,6.194979154251266e+32,rising hard state
58208.87618818,1.204758502535e+38,1.464654156799e+36,58209.215526700005,6.157040408516334e+35,3.996088033065982e+32,rising hard state
58210.31986879,1.192065173133e+38,9.763783606247e+35,58210.35344156098,5.8357168982277715e+35,1.579631208817341e+33,rising hard state
58213.84514109,1.216186000646e+38,6.004917523063e+35,58213.37375052,6.741580172322786e+35,1.674735372476802e+33,rising hard state
58220.06454518,1.193163611504e+38,9.298396670009e+35,58220.03472941176,5.230377731315642e+35,1.0526068722736642e+33,rising hard state
58226.82690007,1.160646590602e+38,4.223565920824e+35,58227.10672905173,3.998960510364956e+35,3.826949593036893e+32,rising hard state
58228.63549969,1.162786551003e+38,4.877309859837e+35,58228.64264999982,3.9399742146184214e+35,3.991735393078973e+33,rising hard state
58235.39774502,1.089682559456e+38,4.831068977958e+35,58235.412430000026,2.893965700818689e+35,1.5992645477618838e+33,rising hard state
58239.32280844,1.097235878112e+38,2.991207779311e+35,58239.30001000012,3.564507017497737e+35,4.4118404669068953e+33,rising hard state
58240.43606086,9.974703613396e+37,7.767285466319e+35,58240.33474999992,3.656734082118778e+35,6.399155453762775e+33,rising hard state
58241.37379232,9.986194028465e+37,9.776684093421e+35,58241.353987058814,3.4170134015265124e+35,1.446174803633261e+33,rising hard state
58242.16599121,9.680549277121e+37,6.673894092995e+35,58242.0565071101,3.083284959291949e+35,2.6649730857722e+32,rising hard state
58243.42962636,1.032285911053e+38,1.079106746362e+35,58243.31078212117,3.6230039204155244e+35,1.0984381457550961e+33,rising hard state
58244.49000174,9.32824620254e+37,3.669595174042e+35,58244.34076100006,3.575976652515038e+35,1.957592951679205e+33,rising hard state
58245.48438841,9.55432477641e+37,9.064013185238e+35,58245.34986685716,3.454208234445305e+35,1.0143973275724494e+33,rising hard state
58246.4787748,9.229963848405e+37,8.040425834017e+35,58246.32323250006,3.513357324781259e+35,2.1751382006853044e+33,rising hard state
58247.60745559,9.143237480571e+37,8.281018012892e+35,58247.37325000018,3.347290304466545e+35,1.8497809816771606e+33,rising hard state
58248.60203327,9.092849438531e+37,5.359856252373e+35,58248.32433000021,3.2054822736272586e+35,5.609480731324199e+33,rising hard state
58250.33460867,9.065671957384e+37,5.770322557255e+35,58250.39329749998,3.2051694137664325e+35,2.6240831590085353e+33,rising hard state
58251.04414563,8.972221776729e+37,6.740372786656e+35,58251.32321312491,3.396881754736864e+35,1.487266699792551e+33,rising hard state
58252.57997329,8.986694950475e+37,5.722150709047e+35,58252.05805942858,2.5758468825473876e+35,2.6316363745696433e+32,rising hard state
58253.15697004,9.048987743944e+37,7.013746130545e+35,58253.160785512046,2.7823135608990217e+35,1.432289273828554e+32,rising hard state
58254.56880453,8.778089408463e+37,6.146526149528e+35,58254.33340269542,3.043370926788777e+35,1.4131542153495147e+32,rising hard state
58255.98617677,8.568405276916e+37,4.674101084449e+35,58256.17104377841,2.4045062431384275e+35,1.4429154834614784e+32,rising hard state
58256.97975334,8.523147415084e+37,7.515082291554e+35,58257.16407012625,2.83373350391142e+35,1.5211765894519648e+32,rising hard state
58259.24357819,8.281328263908e+37,1.03988364818e+36,58259.17553067568,2.5190783642382202e+35,2.6304906728061535e+32,rising hard state
58260.20121192,8.022320342879e+37,1.116685204211e+36,58260.28301061946,2.32461660523388e+35,3.151811126413019e+32,rising hard state
58261.23406428,7.970764905903e+37,8.281452527844e+35,58261.28231747967,2.5383548863268393e+35,3.0946355615378655e+32,rising hard state
58261.35750797,8.020473348007e+37,6.6004781243e+35,58262.18776136366,2.08517570713241e+35,7.332739203117411e+32,rising hard state
58263.19150646,7.449034745241e+37,7.292074941462e+35,58263.273744736834,2.5556646693248132e+35,2.987681485502938e+32,rising hard state
58263.47840489,7.396052750582e+37,5.144257521002e+35,58264.27779242188,2.526250111393569e+35,3.229772218994193e+32,rising hard state
58265.83131601,6.966265141108e+37,3.498343679862e+35,58265.27652175001,2.347171632021193e+35,1.6438659730563156e+32,rising hard state
58266.8224673,6.974289968817e+37,1.650360130692e+35,58266.35886568181,2.091009512635093e+35,2.7287075704359215e+32,rising hard state
58266.8224673,6.974289968817e+37,1.650360130692e+35,58267.251509090886,2.1598123840384374e+35,1.140107900938596e+33,rising hard state
58267.70732242,6.929469698426e+37,5.808331413927e+35,58268.21705376034,2.211203233144465e+35,1.995226704929146e+32,rising hard state
58269.90210839,6.585670531544e+37,3.270113097829e+35,58270.29600482757,1.6927408095038087e+35,5.236751752068282e+32,rising hard state
58271.74106667,6.299411805486e+37,2.154756209391e+35,58271.38615901958,1.6806595232710214e+35,2.7748297518022204e+32,rising hard state
58272.7341575,6.074352628636e+37,2.231708461479e+35,58272.48564187501,1.6828370454132117e+35,6.522453888449403e+32,rising hard state
58274.94751337,5.761028185599e+37,5.546551598845e+35,58275.21310300003,1.6932503855006048e+35,9.275375545124298e+32,rising hard state
58275.80205625,5.492878591961e+37,3.77889703812e+35,58276.246681885255,1.4122144040162412e+35,1.125123960468772e+32,rising hard state
58276.76762989,5.312512929037e+37,3.528502695934e+35,58277.28926411765,1.5033910129960522e+35,1.718833375796269e+32,rising hard state
58280.2795331,4.698941086052e+37,5.228104272842e+35,58279.34308208125,1.99828343874729e+35,2.2136515468442586e+32,rising hard state
58280.2795331,4.698941086052e+37,5.228104272842e+35,58280.27498064286,1.5730165119451522e+35,1.4897400285958923e+32,rising hard state
58280.45121114,4.551976381484e+37,2.085663164737e+35,58281.22172682241,1.59730831878557e+35,1.1943969362479917e+32,rising hard state
58282.94958522,3.867229981194e+37,2.004109032592e+35,58282.21863954752,1.8690175794687403e+35,1.1979979225725843e+32,rising hard state
58285.98607247,3.385322128154e+37,4.792736607387e+35,58285.14778341345,1.8764720434628582e+35,1.2635432992999254e+32,rising hard state
58285.98607247,3.385322128154e+37,4.792736607387e+35,58286.58589165669,2.2538392389768545e+35,1.1982217259872878e+32,rising hard state
58381.1732544,1.927524913191e+36,5.598096418764e+34,58381.4250090244,1.0784142953805624e+35,9.699691748977089e+31,soft-to-hard state transition
58382.7394813,3.587566830393e+36,1.483173526711e+35,58382.46242162208,1.0203859167918538e+35,5.415889355153227e+31,soft-to-hard state transition
58383.5353725,9.558725718847e+36,1.124838803034e+35,58383.13818222223,9.278275396917493e+34,5.412992727655825e+32,soft-to-hard state transition
58383.5353725,9.558725718847e+36,1.124838803034e+35,58384.1808305484,1.095703117074786e+35,6.424914660453101e+31,soft-to-hard state transition
58385.2831387,1.109941270775e+37,1.391753359768e+35,58385.14733140352,9.091133728972222e+34,7.1605914443361485e+31,soft-to-hard state transition
58385.2831387,1.109941270775e+37,1.391753359768e+35,58386.27319244191,1.0668241015899208e+35,1.888750832014787e+32,soft-to-hard state transition
58387.2709512,1.440456010246e+37,1.453315536496e+35,58387.74787492593,7.13499049125751e+34,4.348102386161468e+31,soft-to-hard state transition
58389.0139489,1.512167848792e+37,2.19251937493e+35,58388.61412358,7.511260364782936e+34,4.61924562211913e+31,soft-to-hard state transition
58389.775523,1.608792377889e+37,5.283548815274e+35,58389.55628366812,6.935769061473489e+34,3.8914190458574744e+31,soft-to-hard state transition
58390.8020507,1.483200967182e+37,3.123131235886e+35,58390.83151383885,4.883216528013583e+34,3.442967617312022e+31,soft-to-hard state transition
58391.0769003,1.431528504215e+37,2.263096691002e+35,58391.31581366534,6.726280469403164e+34,6.25944048742599e+31,soft-to-hard state transition
58392.0704651,1.36552608287e+37,2.307496768949e+35,58392.42453496126,6.761119878952894e+34,6.709764062112549e+31,soft-to-hard state transition
58393.3309049,1.34338346966e+37,1.968950107498e+35,58393.57131638418,5.98552836047063e+34,6.531642041287345e+31,decaying hard state
58394.8453146,1.132921972971e+37,2.044056933032e+35,58394.854760645125,5.139605941667261e+34,1.4401945638228716e+32,decaying hard state
58396.0441688,1.019529977563e+37,2.144366466285e+35,58396.41132849999,5.034541522449459e+34,5.224254022382904e+31,decaying hard state
58397.370685,8.476176666355e+36,2.509504704468e+35,58397.39642578947,6.028586084309109e+34,4.331875416011234e+31,decaying hard state
58398.6323285,5.765009137699e+36,2.952679155327e+35,58398.819286800026,7.369153659861617e+34,9.700236877923632e+31,decaying hard state
58400.5484975,5.413772478827e+36,3.469593172929e+35,58400.51560982404,8.541484761554428e+34,5.721014650371482e+31,decaying hard state
58401.7008702,3.262120503943e+36,1.390179894009e+35,58401.56103533866,8.273008534490193e+34,6.877595625622068e+31,decaying hard state
58401.7008702,3.262120503943e+36,1.390179894009e+35,58402.14220330744,9.480179168531076e+34,6.532780528391914e+31,decaying hard state
58402.9487174,3.251621601205e+36,1.637758333848e+35,58403.196344805205,8.608732358783393e+34,1.6513794184699428e+32,decaying hard state
58403.8758355,2.742837004247e+36,1.202784109304e+35,58404.19926814814,1.0106678870825815e+35,1.453564088418797e+32,decaying hard state
58405.0973632,2.712688960517e+36,4.116675484403e+35,58405.111984150906,9.388860639460939e+34,2.0202964993850735e+32,decaying hard state
58406.0253031,2.215644096313e+36,5.854310665126e+35,58406.11789025642,8.979834189193857e+34,2.4637572792667193e+32,decaying hard state
58408.0811248,1.521598249619e+36,8.554392228618e+34,58408.15517599999,8.595872791738733e+34,1.9645373170895777e+32,decaying hard state
58409.1089605,2.177709772353e+36,9.482388553752e+35,58409.56136043796,7.621090198788708e+34,7.754457012712863e+31,decaying hard state
58410.9380114,1.279970616705e+36,2.144990857529e+35,58410.155102000106,8.314206196628876e+34,6.305259182504298e+32,decaying hard state
58410.9380114,1.279970616705e+36,2.144990857529e+35,58411.68335962265,6.505474845035552e+34,5.5556188453225985e+31,decaying hard state
58412.9900716,8.392667159662e+35,1.726717033462e+35,58412.68019017341,6.542626627064743e+34,5.121126424542576e+31,decaying hard state
58412.9900716,8.392667159662e+35,1.726717033462e+35,58413.08646282055,7.663147399617761e+34,1.0854851911193222e+32,decaying hard state
