###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58191.91748,0.075341435,79.17218819,0.162451476
58192.09006,0.047042824,82.42614754,0.209318882
58192.2241,0.045480324,86.69683427,0.235554663
58192.35918,0.043049769,93.38035008,0.295868663
58193.51161,0.083501157,142.0783699,0.221610246
58193.67039,0.040792824,145.3481988,0.282957512
58193.80419,0.041487269,156.4929312,0.281910274
58193.93755,0.042528935,161.966044,0.272579515
58194.07803,0.047390046,167.2386375,0.276120493
58194.21213,0.046001157,178.5670184,0.326006304
58194.3467,0.044091435,188.6934152,0.387112919
58194.47262,0.050862269,193.0682404,0.313986348
58194.606,0.049820602,204.0667567,0.315817441
58194.73087,0.041140046,215.8568223,0.337252117
58194.86477,0.042528935,222.187976,0.317764511
58195.00465,0.048952546,234.6551816,0.306085934
58195.1391,0.047216435,242.0767518,0.335074358
58195.2741,0.044612269,250.2541085,0.414884161
58195.40013,0.051209491,262.5219636,0.387626529
58195.53341,0.050688657,265.8827649,0.34898143
58197.0601,0.085237269,346.7936096,0.362899997
58197.19471,0.041487269,357.8966588,0.442475198
58197.36115,0.052077546,360.6305458,0.336595358
58197.52126,0.050688657,358.0556695,0.3908364
58199.54303,0.049299769,394.214061,0.318424207
58199.69822,0.014230324,398.0798906,0.445090987
58199.84137,0.081765046,394.6954044,0.361098655
58199.97559,0.052251157,393.6017394,0.36225578
58200.10946,0.049994213,399.1634201,0.400001469
58200.21087,0.050515046,393.6688206,0.623717041
58200.34242,0.051383102,391.330051,0.338692205
58200.50456,0.049820602,392.6427794,0.385974997
58200.63491,0.08384838,393.6802469,0.421472615
58200.76804,0.048952546,399.9496794,0.407688414
58200.90302,0.049994213,399.7082285,0.354619144
58201.03731,0.049820602,390.9605937,0.365592925
58201.40125,0.051730324,393.0104479,0.326604212
58201.56213,0.049994213,391.4194196,0.454491761
58201.69579,0.048952546,398.7058838,0.444096955
58201.82822,0.052251157,393.737466,0.377451537
58201.96366,0.051730324,393.8838064,0.352484733
58202.09794,0.048952546,393.9518486,0.384795319
58202.23172,0.05103588,388.5378017,0.415299193
58202.3611,0.052251157,391.6337805,0.390608459
58202.49319,0.051556713,395.7137799,0.419838374
58202.62303,0.049126157,394.4319968,0.551820467
58202.75773,0.052251157,388.9059653,0.389551707
58202.89156,0.052251157,391.3995337,0.33080342
58203.02462,0.048605324,387.5424464,0.346766971
58203.15984,0.046869213,384.7391489,0.378756096
58203.28941,0.079334491,387.114435,0.386478624
58203.42203,0.051556713,383.7282874,0.380888616
58204.47808,0.113709491,366.5694435,0.290778821
58205.5053,0.080028935,361.2002631,0.359340104
58206.96832,0.084369213,348.8795295,0.262475994
58207.76463,0.085063657,349.4011314,0.278181634
58208.95608,0.083153935,344.2698261,0.271593449
58209.91731,0.049994213,341.8210787,0.33454343
58210.08236,0.082459491,340.6290175,0.303078608
58210.25616,0.041140046,341.2210477,0.41278495
58210.37806,0.046695602,339.7057448,0.455223371
58210.5424,0.078466435,339.9552232,0.502604534
58212.07014,0.081591435,339.16241,0.320265171
58212.2428,0.040966435,343.6192287,0.419806344
58212.37363,0.037146991,343.6716691,0.522156537
58212.49646,0.043917824,339.706697,0.816264955
58213.92517,0.08072338,341.6191707,0.310749431
58214.13029,0.07447338,341.9370449,0.333957074
58214.72122,0.081417824,339.6786531,0.288606715
