xtime,xlum,xlum_err,rtime,rlum,rlum_err,state
58192.27815072,3.457004938869e+37,2.742808081077e+35,58192.289,1.6593248699271594e+30,5.962628928199793e+28,rising hard state
58193.44335306,5.555203848137e+37,3.975145892903e+35,58193.289,2.571041831425599e+30,3.701570863683663e+28,rising hard state
58194.26751402,7.0145529842e+37,7.122884738587e+35,58194.289,2.6348620187304896e+30,3.929500104058273e+28,rising hard state
58195.33725863,9.59179746788e+37,5.674164416021e+35,58195.289,4.002437460978148e+30,3.810976899063476e+28,rising hard state
58197.02224153,1.247096326639e+38,1.173506114063e+36,58196.289,4.1209606659729456e+30,2.9266114464099896e+28,rising hard state
58197.29768105,1.299271762837e+38,9.0176859747e+35,58197.289,4.6132878251821026e+30,3.920382934443289e+28,rising hard state
58197.46445255,1.27526370646e+38,8.000137610035e+35,58198.289,4.8320998959417285e+30,4.038906139438085e+28,rising hard state
58199.48231667,1.511471630085e+38,6.54055488197e+35,58199.289,5.388247242455775e+30,4.394475754422478e+28,rising hard state
58200.28561563,1.335980133272e+38,7.421059137004e+35,58200.289,5.25148969823101e+30,9.664199791883455e+28,rising hard state
58201.33603263,1.397655056299e+38,8.217735516047e+35,58201.289,5.233255359001042e+30,1.112294693028096e+29,rising hard state
58202.16669148,1.36741393065e+38,9.029672622364e+35,58202.289,4.5312332986472426e+30,4.421827263267431e+28,rising hard state
58203.23457944,1.362699196995e+38,7.099291152479e+35,58203.289,4.093609157127992e+30,1.212583558792924e+29,rising hard state
58204.39201569,1.313409036533e+38,1.302874122429e+36,58204.289,4.759162539021853e+30,4.959740270551509e+28,rising hard state
58205.43945769,1.310388279574e+38,9.640449716845e+35,58205.289,4.084491987513008e+30,4.120960665972946e+28,rising hard state
58206.89502504,1.24853292616e+38,5.042860519602e+35,58206.289,3.911265764828304e+30,4.531233298647242e+28,rising hard state
58206.89502504,1.24853292616e+38,5.042860519602e+35,58207.289,3.9750859521331964e+30,6.45495608740895e+28,rising hard state
58208.87618818,1.204758502535e+38,1.464654156799e+36,58208.289,3.7015708636836636e+30,1.230817898022893e+29,rising hard state
58208.87618818,1.204758502535e+38,1.464654156799e+36,58209.289,4.1665465140478674e+30,5.16943517169615e+28,rising hard state
58210.31986879,1.192065173133e+38,9.763783606247e+35,58210.289,3.7836253902185225e+30,5.780285535900104e+28,rising hard state
58211.99889632,1.256608520076e+38,2.403629229187e+35,58211.289,3.592164828303851e+30,9.48185639958377e+28,rising hard state
58212.30521666,1.235378389655e+38,1.092299205609e+36,58212.289,3.6742193548387104e+30,5.56147346514048e+28,rising hard state
58213.84514109,1.216186000646e+38,6.004917523063e+35,58213.289,3.7653910509885534e+30,6.646416649323621e+28,rising hard state
58214.04293616,1.214227319352e+38,6.168055567019e+35,58214.289,3.8747970863683666e+30,7.913703225806451e+28,rising hard state
58215.09474754,1.218147841507e+38,6.103607106331e+35,58215.289,3.9386172736732575e+30,1.1578805411030174e+29,rising hard state
58216.58163997,1.220955962296e+38,7.930547825199e+35,58216.289,3.7562738813735694e+30,5.853222892819979e+28,rising hard state
58217.42468395,1.237941151655e+38,9.239873636961e+35,58217.289,3.7653910509885534e+30,5.752934027055151e+28,rising hard state
58218.79379238,1.210040760857e+38,4.103428161697e+35,58218.289,4.1756636836628514e+30,1.0211229968782518e+29,rising hard state
58218.93866577,1.216466070065e+38,7.230203770285e+35,58219.289,3.893031425598335e+30,1.1578805411030174e+29,rising hard state
58220.18599785,1.218708948509e+38,8.189698786222e+35,58220.289,4.1300778355879297e+30,1.1578805411030174e+29,rising hard state
58220.86033212,1.18822859619e+38,6.084330238301e+35,58221.289,4.1756636836628514e+30,2.6075105098855364e+28,rising hard state
58222.48404695,1.189049678985e+38,6.968425370702e+35,58222.289,4.5677019771071803e+30,5.880574401664933e+28,rising hard state
